iter	Passed	Remaining
0	208	62405
1	326	48696
2	409	40493
3	495	36703
4	572	33748
5	637	31253
6	724	30318
7	816	29803
8	892	28847
9	965	27999
10	1057	27775
11	1113	26720
12	1162	25664
13	1207	24671
14	1253	23808
15	1298	23045
16	1357	22606
17	1415	22179
18	1462	21632
19	1508	21112
20	1554	20650
21	1601	20243
22	1693	20390
23	1761	20262
24	1815	19966
25	1881	19825
26	1936	19582
27	2033	19757
28	2085	19489
29	2132	19196
30	2172	18854
31	2216	18562
32	2260	18291
33	2307	18049
34	2351	17806
35	2394	17560
36	2495	17738
37	2540	17518
38	2584	17296
39	2626	17070
40	2670	16868
41	2717	16691
42	2762	16509
43	2808	16338
44	2853	16172
45	2900	16013
46	2945	15854
47	2993	15713
48	3037	15559
49	3081	15405
50	3129	15277
51	3179	15161
52	3225	15031
53	3270	14898
54	3319	14784
55	3362	14650
56	3405	14516
57	3446	14382
58	3490	14258
59	3537	14150
60	3583	14040
61	3641	13979
62	3684	13861
63	3732	13762
64	3778	13661
65	3824	13561
66	3869	13458
67	3915	13359
68	3958	13250
69	4002	13150
70	4048	13057
71	4100	12986
72	4147	12898
73	4194	12809
74	4234	12703
75	4278	12611
76	4324	12524
77	4365	12424
78	4406	12326
79	4449	12237
80	4492	12147
81	4536	12059
82	4577	11968
83	4619	11879
84	4662	11793
85	4702	11702
86	4748	11625
87	4798	11561
88	4861	11524
89	4915	11468
90	4966	11406
91	5022	11355
92	5070	11286
93	5111	11201
94	5155	11125
95	5203	11056
96	5249	10986
97	5299	10923
98	5345	10852
99	5388	10776
100	5432	10704
101	5475	10629
102	5515	10549
103	5562	10482
104	5603	10406
105	5645	10333
106	5689	10261
107	5729	10185
108	5774	10117
109	5814	10043
110	5857	9973
111	5898	9901
112	5943	9834
113	5989	9772
114	6039	9715
115	6096	9670
116	6141	9606
117	6194	9553
118	6238	9489
119	6284	9426
120	6331	9366
121	6376	9303
122	6423	9243
123	6464	9175
124	6510	9115
125	6555	9052
126	6598	8988
127	6644	8928
128	6687	8864
129	6727	8797
130	6768	8731
131	6810	8667
132	6855	8607
133	6898	8546
134	6938	8480
135	6979	8416
136	7020	8353
137	7060	8288
138	7102	8226
139	7145	8166
140	7194	8112
141	7238	8053
142	7281	7994
143	7330	7940
144	7374	7883
145	7415	7822
146	7462	7767
147	7506	7709
148	7553	7654
149	7595	7595
150	7644	7543
151	7691	7489
152	7735	7431
153	7778	7374
154	7823	7318
155	7864	7259
156	7911	7206
157	7955	7149
158	7998	7093
159	8037	7032
160	8077	6973
161	8122	6918
162	8164	6861
163	8209	6807
164	8251	6751
165	8296	6696
166	8343	6645
167	8392	6594
168	8438	6541
169	8482	6486
170	8529	6434
171	8577	6383
172	8621	6328
173	8666	6275
174	8710	6221
175	8754	6168
176	8802	6116
177	8840	6059
178	8884	6005
179	8928	5952
180	8972	5898
181	9015	5845
182	9056	5790
183	9097	5735
184	9139	5681
185	9179	5626
186	9221	5572
187	9263	5518
188	9304	5464
189	9346	5410
190	9388	5357
191	9435	5307
192	9487	5259
193	9533	5209
194	9580	5158
195	9628	5108
196	9680	5061
197	9726	5010
198	9771	4959
199	9822	4911
200	9865	4859
201	9914	4809
202	9958	4758
203	10005	4708
204	10049	4657
205	10093	4605
206	10134	4553
207	10178	4501
208	10219	4449
209	10262	4398
210	10304	4346
211	10346	4294
212	10388	4243
213	10423	4189
214	10468	4138
215	10511	4087
216	10555	4037
217	10600	3987
218	10648	3938
219	10696	3889
220	10744	3840
221	10794	3792
222	10838	3742
223	10881	3692
224	10926	3642
225	10974	3593
226	11023	3545
227	11068	3495
228	11112	3445
229	11152	3394
230	11193	3343
231	11239	3294
232	11285	3245
233	11329	3195
234	11380	3147
235	11417	3096
236	11460	3046
237	11503	2996
238	11542	2946
239	11581	2895
240	11624	2845
241	11667	2796
242	11712	2747
243	11760	2699
244	11808	2650
245	11853	2601
246	11897	2552
247	11944	2504
248	11988	2455
249	12031	2406
250	12075	2357
251	12122	2309
252	12166	2260
253	12212	2211
254	12262	2164
255	12308	2115
256	12353	2066
257	12398	2018
258	12437	1968
259	12476	1919
260	12520	1870
261	12560	1821
262	12602	1772
263	12643	1724
264	12683	1675
265	12728	1626
266	12774	1578
267	12816	1530
268	12859	1481
269	12905	1433
270	12952	1386
271	12998	1338
272	13039	1289
273	13084	1241
274	13124	1193
275	13172	1145
276	13220	1097
277	13265	1049
278	13315	1002
279	13355	953
280	13402	906
281	13444	858
282	13488	810
283	13528	762
284	13564	713
285	13607	666
286	13650	618
287	13690	570
288	13732	522
289	13772	474
290	13814	427
291	13856	379
292	13906	332
293	13949	284
294	13994	237
295	14039	189
296	14086	142
297	14142	94
298	14191	47
299	14245	0
