source,protocol,scope,method,n_runs,bin_f1_weighted,bin_f1_weighted_std,bin_f1_macro,bin_f1_macro_std,bin_bal_acc,bin_bal_acc_std,bin_acc,bin_acc_std,aff_f1_weighted,aff_f1_weighted_std,aff_f1_macro,aff_f1_macro_std,aff_bal_acc,aff_bal_acc_std,aff_acc,aff_acc_std
ours_model,groupkfold,all_700,MST-static,15,0.6572552173721528,0.03905935030729246,0.6539732314467116,0.03753605862124007,0.658512786283522,0.03742134998357662,0.6590100971672845,0.03896109102022498,0.47913610804429324,0.05261538369800323,0.46652326112449394,0.05460016911695478,0.47196000033020546,0.05805226260406864,0.4804371487738867,0.056985010569160055
ours_model,groupkfold,all_700,MST-temporal,15,0.6738334116985679,0.04875353215478331,0.670992027959252,0.04471535194202619,0.6788554119464317,0.03774138543109732,0.6792737528034807,0.04352986288869938,0.49506518868737065,0.042797395800997035,0.48127317017252924,0.03766492340675224,0.5019338568618211,0.0318067930045498,0.5075032411232819,0.04256718570609342
ours_model,groupkfold,complete_364,MST-static,15,0.610316353677391,0.0595211687795184,0.4759135322726012,0.05281988824320721,0.519721498768836,0.044006480090623926,0.6668903318903319,0.07642549965421808,0.39898303854748696,0.07106146573041454,0.3179889077517783,0.048547486164213366,0.34744372243778854,0.057563275506058456,0.4281818181818183,0.09095424527210348
ours_model,groupkfold,complete_364,MST-temporal,15,0.6275969211020296,0.06701212119617178,0.4866092709089334,0.07670745092964741,0.5311094013009583,0.05619322133429051,0.6941486291486292,0.07318394893598193,0.4033625243265579,0.1084794082182966,0.3180868274798914,0.07642985822719225,0.37872923140002607,0.04386361780572672,0.47000000000000003,0.0885115629984915
ours_baseline,groupkfold,all_700,physio+logreg,5,0.5696522467928073,0.04714857772779317,0.5654249660993129,0.043661481067637946,0.567084530327133,0.043822262167632776,0.5692852035610878,0.047002285852218544,,,,,,,,
ours_baseline,groupkfold,all_700,audio+logreg,5,0.6878021803160788,0.011606122321186569,0.6863107965722189,0.01347744143275416,0.6937974903801672,0.01126724478722437,0.688660441805265,0.013467058458685179,,,,,,,,
ours_baseline,groupkfold,all_700,video+logreg,5,0.5874794925850365,0.06646888939123427,0.5900483497840984,0.06236611393121585,0.6136554879858097,0.04461340837907377,0.6006062210018774,0.058381772388781866,,,,,,,,
ours_baseline,groupkfold,all_700,feature_fusion+logreg,5,0.6350070440039246,0.04621940800669219,0.6329655354209306,0.04873065085856678,0.6405244257806064,0.047058744704637216,0.6368918147759132,0.04695634551481288,,,,,,,,
ours_baseline,groupkfold,all_700,availability_only+logreg,5,0.6996242034200058,0.020369033925970597,0.6967504815738058,0.021959792330677855,0.7004049964525341,0.02352272683821405,0.699652116510519,0.02029495434276262,,,,,,,,
ours_baseline,groupkfold,all_700,decision_fusion+logreg,5,0.6529995042535301,0.02717540912205056,0.652221594582039,0.026742294266951655,0.6625184865126481,0.023943154191140667,0.6555860224067944,0.025802596957816233,,,,,,,,
ours_baseline,groupkfold,all_700,physio+rf,5,0.5430358418415825,0.03503660989096912,0.5401785598442034,0.03287747102660605,0.5475682165695799,0.03560121451234316,0.5462079045564693,0.03554322655809212,,,,,,,,
ours_baseline,groupkfold,all_700,audio+rf,5,0.6806212238502326,0.01947627377144519,0.6778741756265955,0.021017813981060098,0.6829484477132686,0.0245515136538162,0.6814703735142398,0.01900603825523412,,,,,,,,
ours_baseline,groupkfold,all_700,video+rf,5,0.6221142453180001,0.026538152169292537,0.6217907979485148,0.025610654883621454,0.6334775327767955,0.023141995487764952,0.6255945860396994,0.025083996805954353,,,,,,,,
ours_baseline,groupkfold,all_700,feature_fusion+rf,5,0.6874154933403516,0.03560149316943694,0.6848775683431796,0.03659752452075769,0.69310746202757,0.037536249506218956,0.6909361577031721,0.03258975849463004,,,,,,,,
ours_baseline,groupkfold,all_700,availability_only+rf,5,0.6986521658545713,0.021640665823446804,0.6960937721626947,0.022797997954041912,0.6999642913243289,0.02412606943343782,0.6982436658062936,0.022051917988242492,,,,,,,,
ours_baseline,groupkfold,all_700,decision_fusion+rf,5,0.6901016887395008,0.028518438242381292,0.687505376147034,0.032065568382112705,0.6926617352546769,0.03439721605270189,0.6903941451516982,0.029367543951582045,,,,,,,,
ours_baseline,random_80_20_PAPER_STYLE,all_700,physio+logreg,10,0.6298592033908841,0.05276525907579343,0.6267327299886909,0.053243232429224296,0.6282146412698197,0.05323773057810331,0.6292857142857142,0.05301617004003859,,,,,,,,
ours_baseline,random_80_20_PAPER_STYLE,all_700,audio+logreg,10,0.7138698388256944,0.03419050249496337,0.7127323659985437,0.03439623376276676,0.7180421524998415,0.03410171497408107,0.7135714285714286,0.034322896504954174,,,,,,,,
ours_baseline,random_80_20_PAPER_STYLE,all_700,video+logreg,10,0.5967377007398218,0.0425737314698713,0.5995644479868873,0.04145947990881118,0.6170047546435782,0.039829346009897154,0.6028571428571429,0.04005098791107479,,,,,,,,
ours_baseline,random_80_20_PAPER_STYLE,all_700,feature_fusion+logreg,10,0.689437935620256,0.03091998463293464,0.6883219823623284,0.03205302755337072,0.6939986549330646,0.031909829385215444,0.6892857142857143,0.03133915852640043,,,,,,,,
ours_baseline,random_80_20_PAPER_STYLE,all_700,availability_only+logreg,10,0.7014474127700491,0.031733961739977244,0.6984748045913277,0.032239628903449336,0.6998834076447303,0.03352911918105741,0.7014285714285714,0.03159049198213712,,,,,,,,
ours_baseline,random_80_20_PAPER_STYLE,all_700,decision_fusion+logreg,10,0.6959760657412836,0.04552167120552096,0.6957506335538973,0.0458068564707283,0.7038565392206595,0.04408921618265098,0.6964285714285714,0.04587583063808973,,,,,,,,
ours_baseline,random_80_20_PAPER_STYLE,all_700,physio+rf,10,0.6696170185268423,0.0361288546398225,0.6658050614473396,0.03707366361354625,0.6672933500365351,0.03700790440712757,0.6707142857142857,0.035348122947596074,,,,,,,,
ours_baseline,random_80_20_PAPER_STYLE,all_700,audio+rf,10,0.7231208231058159,0.030885204932499,0.722034148529006,0.031639854828601335,0.7276531858665105,0.03225180501332793,0.722857142857143,0.03142857142857143,,,,,,,,
ours_baseline,random_80_20_PAPER_STYLE,all_700,video+rf,10,0.6571405887972819,0.03598054882348104,0.6557736822514999,0.03588649800581887,0.6610004856533609,0.037698773250035726,0.6571428571428571,0.034992710611188256,,,,,,,,
ours_baseline,random_80_20_PAPER_STYLE,all_700,feature_fusion+rf,10,0.7395686323063948,0.030605117552518032,0.7365569993352559,0.03169567995942822,0.7374579562165273,0.03204809002973128,0.74,0.030338229402278993,,,,,,,,
ours_baseline,random_80_20_PAPER_STYLE,all_700,availability_only+rf,10,0.6972797355263769,0.030450079513852597,0.6945498038438491,0.030621970134897425,0.696377356251582,0.031606334759979385,0.6971428571428572,0.030505937862946614,,,,,,,,
ours_baseline,random_80_20_PAPER_STYLE,all_700,decision_fusion+rf,10,0.7261233001194698,0.022754934980444508,0.724255219731227,0.023285958465154622,0.7275273079549449,0.023148891167984593,0.7257142857142858,0.023079277744862143,,,,,,,,
