clf,features,acc_inflation,f1_macro_inflation,f1_weighted_inflation
logreg,physio,0.059286225010340754,0.058397456579339146,0.05634336829498876
logreg,audio,0.01705384390902065,0.018888512770697696,0.017877650137934742
logreg,video,0.016536636140979777,0.021159912021035843,0.02271195801056025
logreg,feature_fusion,0.05310818522408678,0.055939212129326954,0.05482642084589795
logreg,availability_only,0.00034788348948100456,0.0012871927508001368,-3.4100818609439365e-05
rf,physio,0.0995063811578164,0.0980854246881201,0.09773736939749744
rf,audio,0.03424391220004597,0.036879855005923945,0.03505574366397446
rf,video,0.05440541396030052,0.0564462225507516,0.057349803495614915
rf,feature_fusion,0.04773341699693712,0.051395939189255224,0.050551933271494764
rf,availability_only,-0.003957951520579428,-0.003254425921524362,-0.004396690157432714
