protocol,clf,features,acc,acc_std,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std
groupkfold,logreg,physio,0.6458333333333334,0.06909634979907087,0.6420358241931666,0.06650493101958273,0.6428691575264999,0.06692439036501252
groupkfold,logreg,audio,0.7083333333333334,0.10622957319984967,0.7041515489341577,0.10923524568741684,0.7045593014071274,0.11025280595162198
groupkfold,logreg,video,0.5104166666666666,0.034548174899535405,0.5026777087646653,0.037266020541170626,0.5022622881680853,0.03716159546127373
groupkfold,logreg,feature_fusion,0.7083333333333333,0.06588078458684123,0.7052616948269124,0.0672940553153432,0.7063169801213279,0.06809475914622087
groupkfold,logreg,availability_only,0.78125,0.12968645414571595,0.7736813297611846,0.13218512918716405,0.7751744063223193,0.13356042598713178
groupkfold,rf,physio,0.6770833333333333,0.08526409137367137,0.6691057251926817,0.0847880535024477,0.6703784017914453,0.08501315198320179
groupkfold,rf,audio,0.6770833333333334,0.12968645414571595,0.6697130757929306,0.13131397602367514,0.6693592818252528,0.1341737710813688
groupkfold,rf,video,0.5833333333333333,0.1141088661469096,0.5761904761904761,0.11962002306225962,0.5777336860670194,0.12128336139702486
groupkfold,rf,feature_fusion,0.75,0.14129854131510974,0.7470945479641131,0.13929345874703009,0.7486157119852773,0.1407335459697084
groupkfold,rf,availability_only,0.78125,0.12968645414571595,0.7736813297611846,0.13218512918716405,0.7751744063223193,0.13356042598713178
random_kfold_LEAKY,logreg,physio,0.7083333333333333,0.06588078458684123,0.68991214267648,0.07639708449456835,0.7115578260394311,0.057017151112893155
random_kfold_LEAKY,logreg,audio,0.7395833333333334,0.07438987946398803,0.7096514596514596,0.11097247005718763,0.7378057128057128,0.07898951562806637
random_kfold_LEAKY,logreg,video,0.53125,0.045405197328548697,0.500199111707599,0.032258343166896825,0.5272960615986665,0.032400859623132924
random_kfold_LEAKY,logreg,feature_fusion,0.6874999999999999,0.062499999999999986,0.6499080080803151,0.0834231388807268,0.6833400172476184,0.058416165617221974
random_kfold_LEAKY,logreg,availability_only,0.78125,0.07438987946398803,0.7448485551158972,0.1156250902473904,0.773032541731509,0.08199098403454531
random_kfold_LEAKY,rf,physio,0.6874999999999999,0.062499999999999986,0.670864523628861,0.07005710174982334,0.6870207890023939,0.05581908547882666
random_kfold_LEAKY,rf,audio,0.7395833333333333,0.09936866681426518,0.7102882598345392,0.1292369718051912,0.7363871987057106,0.10163522571870728
random_kfold_LEAKY,rf,video,0.5833333333333333,0.05103103630798288,0.5534391534391534,0.06828472298371081,0.5814594356261021,0.05484301231884783
random_kfold_LEAKY,rf,feature_fusion,0.7604166666666666,0.08001193487363134,0.7277004772467568,0.11536892499086426,0.7546604378122831,0.08576402268307322
random_kfold_LEAKY,rf,availability_only,0.78125,0.07438987946398803,0.7448485551158972,0.1156250902473904,0.773032541731509,0.08199098403454531
