run_name,timestamp,verdict,delta_vs_best,duration_s,complete364_macro_f1,complete364_macro_f1_single,complete364_weighted_f1,complete364_balanced_acc,complete364_accuracy,n_folds,subject_relative,complete364_macro_f1_single_ref,mean_chosen_k,fixed_k,splits_seed,all700_macro_f1,notes
c5_confirm_seed202,2026-08-03 15:26:17,NEW BEST,0.0171257235394972,277.9932997226715,0.5498601563141332,,0.6380485034020867,0.5659038563148766,0.6246753246753247,5,False,0.5367683829322119,3.0,True,202.0,,
c1_nested_ensemble,2026-08-03 14:15:22,FIRST RUN,,291.2945549488068,0.532734432774636,0.4870159872323883,0.6429333768904038,0.5469949075444822,0.6792640692640692,5,False,,,,,,
c2_subject_relative,2026-08-03 14:20:37,no improvement,-0.0128308425528081,294.2279632091522,0.5199035902218277,0.5371454658061102,0.6377736474052262,0.5456986986683117,0.6837662337662337,5,True,,,,,,
c4b_video_features_fixedk,2026-08-03 15:16:02,no improvement,-0.0227540605797388,530.676527261734,0.5099803721948971,,0.5950035587420978,0.5299785111649685,0.5922077922077922,5,False,0.5116378616737266,3.0,True,,,
c5_confirm_seed303,2026-08-03 15:31:47,no improvement,-0.0455583203404941,286.81973910331726,0.5043018359736391,,0.597012990286338,0.5029031473752728,0.5852009894867037,5,False,0.5110882800196818,3.0,True,303.0,,
c5_confirm_seed101,2026-08-03 15:21:32,no improvement,-0.0292487044695155,281.0134069919586,0.5034857283051204,,0.5953050170087446,0.5046858637188706,0.5891774891774891,5,False,0.5155012270920887,3.0,True,101.0,,
c4_video_features,2026-08-03 15:06:40,no improvement,-0.034832477556538,548.91126704216,0.4979019552180979,,0.5912167385350758,0.5248838273277563,0.5993722943722943,5,False,0.5116378616737266,3.4,,,,
c3_inner_selected_k,2026-08-03 14:28:17,no improvement,-0.0429502752821105,298.4602925777436,0.4897841574925253,,0.5808288128700431,0.516550493994423,0.5863852813852815,5,False,0.5087907448363227,2.8,,,,
deep_full_temporal,2026-07-30 22:38:00,backfilled,,11453.0,0.4850371524762495,,,,0.6901803751803752,5,False,,,,,0.6725880128902709,"MST temporal, d_model=128, 1.24M params"
deep_full_static,2026-07-30 22:38:00,backfilled,,11453.0,0.4759135322726012,,,,0.6668903318903319,5,False,,,,,0.6539732314467116,MST static twin (mean-pool over windows)
deep_a1a2_static,2026-08-02 19:33:00,backfilled,,3798.0,0.475182658957052,,,,0.6612987012987013,5,False,,,,,0.6445377784239485,"A1+A2, static"
deep_a1a2_temporal,2026-08-02 19:33:00,backfilled,,3798.0,0.4439463955079725,,,,0.6898051948051948,5,False,,,,,0.6573897156976538,"A1 physio features + A2 capacity cut, temporal"
