clf,features,acc_inflation,f1_inflation
logreg,physio,0.06249999999999989,0.04787631848331342
logreg,audio,0.03125,0.005499910717301937
logreg,video,0.02083333333333337,-0.002478597057066323
logreg,feature_fusion,-0.02083333333333337,-0.05535368674659724
logreg,decision_fusion,0.0,-0.037168822462940065
rf,physio,0.01041666666666663,0.00337830614264345
rf,audio,0.06249999999999989,0.04057518404160865
rf,video,0.02083333333333348,-0.003828197945844991
rf,feature_fusion,0.01041666666666663,-0.019394070717356326
rf,decision_fusion,0.05208333333333337,0.03777268423900226
