variant,condition,n_missing,ece,accuracy,mean_conf
static,full,0,0.12410086835734546,0.640625,0.6597411220427603
static,no_audio,1,0.21254761726595459,0.40625,0.6187976172659546
static,no_physio,1,0.06810221588239071,0.609375,0.6122677237726748
static,no_video,1,0.16322453413158658,0.671875,0.670465505681932
static,audio_only,2,0.1378048760816455,0.734375,0.6372029101476073
static,physio_only,2,0.150362141430378,0.484375,0.6143071921542287
static,video_only,2,0.42747228336520493,0.265625,0.6930972833652049
temporal,full,0,0.18301775865256786,0.734375,0.725799823179841
temporal,no_audio,1,0.13966712402179837,0.6875,0.690322024282068
temporal,no_physio,1,0.1529925293289125,0.703125,0.7184456591494381
temporal,no_video,1,0.20174721721559763,0.734375,0.7583647454157472
temporal,audio_only,2,0.1792880892753601,0.703125,0.7345823310315609
temporal,physio_only,2,0.17018195055425167,0.734375,0.7205787263810635
temporal,video_only,2,0.16043177247047424,0.609375,0.6721597695723176
