variant,condition,lo,hi,n,acc,conf
static,audio_only,0.5,0.55,5,1.0,0.5306441426277161
static,audio_only,0.55,0.6,8,0.875,0.5776403248310089
static,audio_only,0.6,0.65,20,0.65,0.6219933360815049
static,audio_only,0.65,0.7,25,0.76,0.6706610822677612
static,audio_only,0.7,0.75,6,0.5,0.7167081932226816
static,audio_only,0.75,0.8,0,,
static,audio_only,0.8,0.8500000000000001,0,,
static,audio_only,0.8500000000000001,0.9,0,,
static,audio_only,0.9,0.95,0,,
static,audio_only,0.95,1.0,0,,
static,full,0.5,0.55,2,1.0,0.5267366468906403
static,full,0.55,0.6,5,0.8,0.5621127784252167
static,full,0.6,0.65,19,0.5263157894736842,0.6223533890749279
static,full,0.65,0.7,19,0.7368421052631579,0.6724447858961005
static,full,0.7,0.75,17,0.5882352941176471,0.7201018438619726
static,full,0.75,0.8,2,0.5,0.7582489773631096
static,full,0.8,0.8500000000000001,0,,
static,full,0.8500000000000001,0.9,0,,
static,full,0.9,0.95,0,,
static,full,0.95,1.0,0,,
static,no_audio,0.5,0.55,12,0.5,0.524007610976696
static,no_audio,0.55,0.6,20,0.55,0.5777543306350708
static,no_audio,0.6,0.65,12,0.3333333333333333,0.621473640203476
static,no_audio,0.65,0.7,10,0.3,0.674057137966156
static,no_audio,0.7,0.75,6,0.16666666666666666,0.7262520988782247
static,no_audio,0.75,0.8,2,0.5,0.7801400795578957
static,no_audio,0.8,0.8500000000000001,2,0.0,0.8219108730554581
static,no_audio,0.8500000000000001,0.9,0,,
static,no_audio,0.9,0.95,0,,
static,no_audio,0.95,1.0,0,,
static,no_physio,0.5,0.55,17,0.5882352941176471,0.5280830106314491
static,no_physio,0.55,0.6,14,0.5714285714285714,0.5697679349354335
static,no_physio,0.6,0.65,10,0.7,0.6196984350681305
static,no_physio,0.65,0.7,14,0.6428571428571429,0.6815243789127895
static,no_physio,0.7,0.75,8,0.5,0.7163120955228806
static,no_physio,0.75,0.8,1,1.0,0.7621496319770813
static,no_physio,0.8,0.8500000000000001,0,,
static,no_physio,0.8500000000000001,0.9,0,,
static,no_physio,0.9,0.95,0,,
static,no_physio,0.95,1.0,0,,
static,no_video,0.5,0.55,8,0.375,0.5304222330451012
static,no_video,0.55,0.6,2,1.0,0.5889831483364105
static,no_video,0.6,0.65,7,0.7142857142857143,0.6347526226724897
static,no_video,0.65,0.7,22,0.8181818181818182,0.6743983626365662
static,no_video,0.7,0.75,22,0.5454545454545454,0.7243047004396265
static,no_video,0.75,0.8,3,1.0,0.7579041520754496
static,no_video,0.8,0.8500000000000001,0,,
static,no_video,0.8500000000000001,0.9,0,,
static,no_video,0.9,0.95,0,,
static,no_video,0.95,1.0,0,,
static,physio_only,0.5,0.55,18,0.5,0.5243297202719582
static,physio_only,0.55,0.6,11,0.36363636363636365,0.5741944990374825
static,physio_only,0.6,0.65,15,0.4666666666666667,0.6256289958953858
static,physio_only,0.65,0.7,11,0.5454545454545454,0.6713586828925393
static,physio_only,0.7,0.75,6,0.8333333333333334,0.7243736038605372
static,physio_only,0.75,0.8,1,0.0,0.7934841811656952
static,physio_only,0.8,0.8500000000000001,2,0.0,0.8262397944927216
static,physio_only,0.8500000000000001,0.9,0,,
static,physio_only,0.9,0.95,0,,
static,physio_only,0.95,1.0,0,,
static,video_only,0.5,0.55,0,,
static,video_only,0.55,0.6,0,,
static,video_only,0.6,0.65,7,0.2857142857142857,0.6289289040224892
static,video_only,0.65,0.7,26,0.34615384615384615,0.6740173479685416
static,video_only,0.7,0.75,26,0.19230769230769232,0.7174734324216843
static,video_only,0.75,0.8,5,0.2,0.7553927034139634
static,video_only,0.8,0.8500000000000001,0,,
static,video_only,0.8500000000000001,0.9,0,,
static,video_only,0.9,0.95,0,,
static,video_only,0.95,1.0,0,,
temporal,audio_only,0.5,0.55,5,0.8,0.530018949508667
temporal,audio_only,0.55,0.6,8,0.625,0.5795337110757828
temporal,audio_only,0.6,0.65,3,1.0,0.6240836183230082
temporal,audio_only,0.65,0.7,8,0.875,0.6742339953780174
temporal,audio_only,0.7,0.75,9,0.5555555555555556,0.7199824055035909
temporal,audio_only,0.75,0.8,7,0.42857142857142855,0.7674283470426287
temporal,audio_only,0.8,0.8500000000000001,9,0.5555555555555556,0.8221579260296292
temporal,audio_only,0.8500000000000001,0.9,12,0.8333333333333334,0.8743826697270075
temporal,audio_only,0.9,0.95,3,1.0,0.9056428273518881
temporal,audio_only,0.95,1.0,0,,
temporal,full,0.5,0.55,4,0.75,0.5228160619735718
temporal,full,0.55,0.6,5,0.8,0.5732168078422546
temporal,full,0.6,0.65,9,1.0,0.6188984513282776
temporal,full,0.65,0.7,8,0.75,0.6676989644765854
temporal,full,0.7,0.75,12,0.5,0.7258123109738032
temporal,full,0.75,0.8,6,0.5,0.7706748644510905
temporal,full,0.8,0.8500000000000001,6,0.6666666666666666,0.8319912552833557
temporal,full,0.8500000000000001,0.9,14,0.8571428571428571,0.8754584406103406
temporal,full,0.9,0.95,0,,
temporal,full,0.95,1.0,0,,
temporal,no_audio,0.5,0.55,8,0.75,0.5232996940612793
temporal,no_audio,0.55,0.6,9,0.6666666666666666,0.5785068770249685
temporal,no_audio,0.6,0.65,8,0.75,0.6142374277114868
temporal,no_audio,0.65,0.7,11,0.5454545454545454,0.6800480539148505
temporal,no_audio,0.7,0.75,8,0.5,0.7137172594666481
temporal,no_audio,0.75,0.8,3,1.0,0.7713659803072611
temporal,no_audio,0.8,0.8500000000000001,7,0.7142857142857143,0.8234449539865766
temporal,no_audio,0.8500000000000001,0.9,10,0.8,0.8605271399021148
temporal,no_audio,0.9,0.95,0,,
temporal,no_audio,0.95,1.0,0,,
temporal,no_physio,0.5,0.55,5,0.6,0.511962103843689
temporal,no_physio,0.55,0.6,8,0.875,0.579133402556181
temporal,no_physio,0.6,0.65,7,0.7142857142857143,0.633494326046535
temporal,no_physio,0.65,0.7,9,0.7777777777777778,0.6722675694359673
temporal,no_physio,0.7,0.75,11,0.5454545454545454,0.7256086522882635
temporal,no_physio,0.75,0.8,4,0.25,0.7721127867698669
temporal,no_physio,0.8,0.8500000000000001,6,0.6666666666666666,0.8345260421435038
temporal,no_physio,0.8500000000000001,0.9,13,0.8461538461538461,0.8699014966304486
temporal,no_physio,0.9,0.95,1,1.0,0.9167540073394777
temporal,no_physio,0.95,1.0,0,,
temporal,no_video,0.5,0.55,0,,
temporal,no_video,0.55,0.6,3,1.0,0.580653707186381
temporal,no_video,0.6,0.65,7,0.8571428571428571,0.6234049882207598
temporal,no_video,0.65,0.7,10,0.9,0.6775586426258087
temporal,no_video,0.7,0.75,14,0.5714285714285714,0.7208328715392521
