variant,condition,metric,mean,ci_lo,ci_hi,n_runs,n_missing
static,full,bin_accuracy,0.640625,0.59375,0.6875,4,0
static,no_audio,bin_accuracy,0.40625,0.296875,0.484375,4,1
static,no_physio,bin_accuracy,0.609375,0.5,0.71875,4,1
static,no_video,bin_accuracy,0.671875,0.59375,0.734375,4,1
static,audio_only,bin_accuracy,0.734375,0.625,0.84375,4,2
static,physio_only,bin_accuracy,0.484375,0.4375,0.53125,4,2
static,video_only,bin_accuracy,0.265625,0.15625,0.375,4,2
temporal,full,bin_accuracy,0.734375,0.625,0.84375,4,0
temporal,no_audio,bin_accuracy,0.6875,0.59375,0.8125,4,1
temporal,no_physio,bin_accuracy,0.703125,0.59375,0.8125,4,1
temporal,no_video,bin_accuracy,0.734375,0.625,0.84375,4,1
temporal,audio_only,bin_accuracy,0.703125,0.59375,0.8125,4,2
temporal,physio_only,bin_accuracy,0.734375,0.625,0.84375,4,2
temporal,video_only,bin_accuracy,0.609375,0.46875,0.796875,4,2
static,full,bin_ece,0.14086471102200449,0.09160902490839362,0.21197580196894705,4,0
static,no_audio,bin_ece,0.2979614727664739,0.22258842177689075,0.373334523756057,4,1
static,no_physio,bin_ece,0.1515791337005794,0.10457525029778485,0.18662937451153994,4,1
static,no_video,bin_ece,0.18933342304080725,0.13125763833522797,0.2507957555353642,4,1
static,audio_only,bin_ece,0.24196879100054502,0.18575266562402248,0.2720089266076684,4,2
static,physio_only,bin_ece,0.20152552518993616,0.16273116506636143,0.25223358208313584,4,2
static,video_only,bin_ece,0.444007778307423,0.34425703063607216,0.5437585259787738,4,2
temporal,full,bin_ece,0.257691727951169,0.18821335397660732,0.3271701019257307,4,0
temporal,no_audio,bin_ece,0.2506726556457579,0.19417216069996357,0.30717315059155226,4,1
temporal,no_physio,bin_ece,0.2539648418314755,0.18887210078537464,0.31905758287757635,4,1
temporal,no_video,bin_ece,0.24422695022076368,0.17645318992435932,0.31200071051716805,4,1
temporal,audio_only,bin_ece,0.2596273710951209,0.2289361311122775,0.2991201002150774,4,2
temporal,physio_only,bin_ece,0.2627752162516117,0.19816901627928019,0.32617706060409546,4,2
temporal,video_only,bin_ece,0.29868384823203087,0.22514836257323623,0.3566421903669834,4,2
static,full,bin_f1_macro,0.4237199837199837,0.3718518518518519,0.5032967032967033,4,0
static,no_audio,bin_f1_macro,0.36704863763687295,0.28311688311688316,0.4267379679144385,4,1
static,no_physio,bin_f1_macro,0.41595441595441596,0.3333333333333333,0.5256410256410257,4,1
static,no_video,bin_f1_macro,0.44113960113960116,0.3718518518518519,0.5441595441595442,4,1
static,audio_only,bin_f1_macro,0.4205874840357599,0.38206896551724134,0.45747126436781615,4,2
static,physio_only,bin_f1_macro,0.4229523830143025,0.35497835497835495,0.5040748724959251,4,2
static,video_only,bin_f1_macro,0.20286222803385273,0.13450292397660818,0.27122153209109734,4,2
temporal,full,bin_f1_macro,0.4696296296296296,0.38370370370370366,0.5851851851851851,4,0
temporal,no_audio,bin_f1_macro,0.4562021553325901,0.37230769230769234,0.5562987736900781,4,1
temporal,no_physio,bin_f1_macro,0.4694871794871795,0.37230769230769234,0.5961538461538463,4,1
temporal,no_video,bin_f1_macro,0.4205874840357599,0.38206896551724134,0.45747126436781615,4,1
temporal,audio_only,bin_f1_macro,0.4502564102564103,0.37230769230769234,0.5384615384615385,4,2
temporal,physio_only,bin_f1_macro,0.4205874840357599,0.38206896551724134,0.45747126436781615,4,2
temporal,video_only,bin_f1_macro,0.4115415019762846,0.33217391304347826,0.49090909090909096,4,2
