variant,condition,seed,fold,bin_accuracy,bin_f1_macro,bin_f1_pos,bin_recall_0,bin_recall_1,bin_n,bin_auc,bin_ece,aff_accuracy,aff_f1_macro,aff_recall_class0,aff_recall_class1,aff_recall_class2
static,audio_only,0,0,0.5625,0.36,0.72,0.0,1.0,16,0.3015873015873016,0.2698737643659115,0.25,0.20346320346320346,0.0,0.375,0.2
static,audio_only,0,1,0.875,0.4666666666666667,0.9333333333333333,0.0,1.0,16,0.42857142857142855,0.27387330308556557,0.1875,0.1297134238310709,0.0,0.25,0.2
static,audio_only,0,2,0.6875,0.4074074074074074,0.8148148148148148,0.0,1.0,16,0.3636363636363636,0.15771229937672618,0.375,0.3666666666666667,0.3333333333333333,0.5,0.36363636363636365
static,audio_only,0,3,0.8125,0.4482758620689655,0.896551724137931,0.0,1.0,16,0.7435897435897436,0.2664157971739769,0.375,0.25071225071225073,0.0,0.3333333333333333,0.4444444444444444
static,full,0,0,0.5625,0.36,0.72,0.0,1.0,16,0.36507936507936506,0.2507530227303505,0.375,0.24074074074074073,0.0,0.125,1.0
static,full,0,1,0.6875,0.5428571428571429,0.8,0.5,0.7142857142857143,16,0.4642857142857143,0.08757391013205051,0.4375,0.41005291005291006,0.5,0.5,0.4
static,full,0,2,0.6875,0.4074074074074074,0.8148148148148148,0.0,1.0,16,0.3818181818181818,0.1294877715408802,0.75,0.6333333333333333,0.3333333333333333,0.5,0.9090909090909091
static,full,0,3,0.625,0.38461538461538464,0.7692307692307693,0.0,0.7692307692307693,16,0.38461538461538464,0.09564413968473676,0.4375,0.2962962962962963,0.0,0.3333333333333333,0.5555555555555556
static,no_audio,0,0,0.4375,0.37662337662337664,0.18181818181818182,0.8571428571428571,0.1111111111111111,16,0.3968253968253968,0.2203807048499584,0.375,0.35930735930735924,0.6666666666666666,0.375,0.2
static,no_audio,0,1,0.25,0.23809523809523808,0.3333333333333333,0.5,0.21428571428571427,16,0.5357142857142857,0.41095986776053905,0.3125,0.31986531986531985,0.5,0.5,0.2
static,no_audio,0,2,0.4375,0.43529411764705883,0.4,0.8,0.2727272727272727,16,0.6,0.2247961387038231,0.375,0.38413547237076645,0.3333333333333333,0.5,0.36363636363636365
static,no_audio,0,3,0.5,0.4181818181818182,0.6363636363636364,0.3333333333333333,0.5384615384615384,16,0.2564102564102564,0.335709179751575,0.125,0.12121212121212122,0.0,0.3333333333333333,0.0
static,no_physio,0,0,0.5,0.3333333333333333,0.6666666666666666,0.0,0.8888888888888888,16,0.33333333333333337,0.18942447938024998,0.25,0.19172113289760348,0.0,0.125,0.6
static,no_physio,0,1,0.5,0.3333333333333333,0.6666666666666666,0.0,0.5714285714285714,16,0.3214285714285714,0.07815557718276984,0.3125,0.22023809523809523,0.0,0.75,0.2
static,no_physio,0,2,0.6875,0.4074074074074074,0.8148148148148148,0.0,1.0,16,0.39999999999999997,0.15490220859646797,0.5625,0.4666666666666666,0.3333333333333333,0.5,0.6363636363636364
static,no_physio,0,3,0.75,0.5897435897435898,0.8461538461538461,0.3333333333333333,0.8461538461538461,16,0.6153846153846154,0.1838342696428299,0.3125,0.21288515406162464,0.0,0.3333333333333333,0.3333333333333333
static,no_video,0,0,0.5625,0.36,0.72,0.0,1.0,16,0.3492063492063492,0.286921251565218,0.375,0.2679738562091503,0.0,0.25,0.8
static,no_video,0,1,0.75,0.5897435897435898,0.8461538461538461,0.5,0.7857142857142857,16,0.5357142857142857,0.20789716392755508,0.4375,0.41010101010101013,0.5,0.5,0.4
static,no_video,0,2,0.6875,0.4074074074074074,0.8148148148148148,0.0,1.0,16,0.4727272727272727,0.12009600922465324,0.5,0.45126705653021437,0.3333333333333333,0.5,0.5454545454545454
static,no_video,0,3,0.6875,0.4074074074074074,0.8148148148148148,0.0,0.8461538461538461,16,0.4358974358974359,0.14241926744580272,0.5,0.33903133903133903,0.0,0.5,0.5555555555555556
static,physio_only,0,0,0.4375,0.43529411764705883,0.4,0.5714285714285714,0.3333333333333333,16,0.5079365079365079,0.16598734259605408,0.375,0.2878787878787879,0.6666666666666666,0.5,0.0
static,physio_only,0,1,0.4375,0.37662337662337664,0.5714285714285714,0.5,0.42857142857142855,16,0.5714285714285714,0.19965744204819202,0.25,0.2508417508417508,0.5,0.5,0.1
static,physio_only,0,2,0.5625,0.5465587044534412,0.631578947368421,0.6,0.5454545454545454,16,0.5272727272727272,0.15947498753666878,0.375,0.33543417366946776,0.3333333333333333,0.5,0.36363636363636365
static,physio_only,0,3,0.5,0.3333333333333333,0.6666666666666666,0.0,0.6153846153846154,16,0.46153846153846156,0.28098232857882977,0.4375,0.32941176470588235,0.0,0.3333333333333333,0.5555555555555556
static,video_only,0,0,0.4375,0.30434782608695654,0.0,1.0,0.0,16,0.1746031746031746,0.2864295458421111,0.375,0.2878787878787879,0.6666666666666666,0.5,0.0
static,video_only,0,1,0.125,0.1111111111111111,0.0,1.0,0.0,16,0.6428571428571429,0.5589375253766775,0.1875,0.17777777777777778,0.5,0.5,0.0
static,video_only,0,2,0.3125,0.23809523809523808,0.0,1.0,0.0,16,0.5818181818181818,0.4020845154300332,0.125,0.13468013468013468,0.3333333333333333,0.5,0.0
static,video_only,0,3,0.1875,0.15789473684210525,0.0,1.0,0.0,16,0.35897435897435903,0.5285795265808702,0.1875,0.18461538461538463,1.0,0.3333333333333333,0.0
temporal,audio_only,0,0,0.5625,0.36,0.72,0.0,1.0,16,0.5873015873015872,0.32169538363814354,0.3125,0.22875816993464052,0.0,0.25,0.6
temporal,audio_only,0,1,0.875,0.4666666666666667,0.9333333333333333,0.0,1.0,16,0.35714285714285715,0.23139424994587898,0.5,0.2962962962962963,0.0,0.25,0.7
temporal,audio_only,0,2,0.625,0.38461538461538464,0.7692307692307693,0.0,0.9090909090909091,16,0.21818181818181814,0.2589418385177851,0.375,0.19999999999999998,0.0,0.0,0.5454545454545454
temporal,audio_only,0,3,0.75,0.5897435897435898,0.8461538461538461,0.3333333333333333,0.8461538461538461,16,0.6666666666666667,0.226478012278676,0.4375,0.2571428571428571,0.0,0.16666666666666666,0.6666666666666666
temporal,full,0,0,0.5625,0.36,0.72,0.0,1.0,16,0.5396825396825397,0.3443492576479912,0.3125,0.22875816993464052,0.0,0.25,0.6
temporal,full,0,1,0.875,0.4666666666666667,0.9333333333333333,0.0,1.0,16,0.39285714285714285,0.21984341740608215,0.5,0.2962962962962963,0.0,0.25,0.7
temporal,full,0,2,0.6875,0.4074074074074074,0.8148148148148148,0.0,1.0,16,0.21818181818181814,0.30999094620347023,0.5,0.24242424242424243,0.0,0.0,0.7272727272727273
temporal,full,0,3,0.8125,0.6444444444444444,0.8888888888888888,0.3333333333333333,0.9230769230769231,16,0.6666666666666667,0.1565832905471325,0.5625,0.31521739130434784,0.0,0.16666666666666666,0.8888888888888888
temporal,no_audio,0,0,0.5625,0.36,0.72,0.0,1.0,16,0.6031746031746031,0.29411523044109344,0.3125,0.22875816993464052,0.0,0.25,0.6
